Nom,Adresse,Téléphone
HAMELLE MAROC,"100, zone indust Sud-Ouest 20650 Mohammedia - Maroc",", "
TRACTAFRIC (Tractafric Equipment Maroc),"autoroute Casa/Rabat , km.11,6 route desserte des usines 20250 Casablanca - Maroc",", "
CENTRAL PARTS,"15, rue Rachid Réda 20300 Casablanca - Maroc",", , "
F.A.M. (Fonderies et Acieries du Maroc),"19, chemin des Pivoines (Beausite) , Aïn Sebaâ 20250 Casablanca - Maroc",", , "
RABAT TRACT,"cité Ikamat Assabah , 12 résid.AlAfak, C.y.m 10050 Rabat - Maroc",", "
CCIC,"quartier Lissasfa, route d'El Jadida , km.14 --- c/o Srm 23593 Casablanca - Maroc",", "
BEKS,"135, zone indust Sud-Ouest 28800 Mohammedia - Maroc",", , , "
SUD TRANSMISSION,"rue Abou Bakr Essedik , Q.i. Marrakech 40000 Marrakech - Maroc",", , , "
G-PARTS,61 bloc 1 boulevard Agadir 86150 Aït Melloul - Maroc,", "
FIRST FILTRES INDUSTRIELS - FFI,"3, rue Abou Abbas El Jiraoui , Belvédère 20300 Casablanca - Maroc",", , "
77 EPSM (77 Equipements Parts et Service Maroc),"6, rue Le Nain , 2° étg., Maarif 20150 Casablanca - Maroc",", "
HARWAL TRAX,"50, avenue Khalid Bnou Loualid (Ain Sebaa) , ang. Bd Ali Yaâta 20590 Casablanca - Maroc",", , "
P.A.G.E.C. (Pièces Agricoles et Génie Civil),"bd de la Grande Ceinture (h.Mohammadi) , angle av. L, imm. Lotf Allah 20350 Casablanca - Maroc",", , "
CASA GRUE,"bd Zoulikha Naciri, Mega business center 2°ét. Sidi Maarouf 20550 Casablanca - Maroc",", , "
COGETRAKS,"Douar El Caid Harbil, route de Safi - km 11, Sidi Ghanem 40000 Marrakech - Maroc",
AB PARTS,"4, bd du Fouarat , Hay Mohammadi 20570 Casablanca - Maroc",
UBARISTI MAROC,"57, Zone indust Gzenaya - route de Rabat 90100 Tanger - Maroc",", "
GMH DAMANE (Générale mécanique hydraulique Damane),"route de Rabat (r.p. 1) , Z.I. - 3 lot. Ennouala - Ain Sebaa 20600 Casablanca - Maroc",", , "
BREAKER MAROC,"Douar Ouled Slama - Ouest Ain Attig, Ibn Khaldoun 12000 Témara - Maroc",
EASY JOB,"5, bd de Boured 20290 Casablanca - Maroc",", , , "
