Nom,Adresse,Téléphone
TRACTAFRIC (Tractafric Equipment Maroc),"autoroute Casa/Rabat , km.11,6 route desserte des usines 20250 Casablanca - Maroc",", "
HAMELLE MAROC,"100, zone indust Sud-Ouest 20650 Mohammedia - Maroc",", "
F.A.M. (Fonderies et Acieries du Maroc),"19, chemin des Pivoines (Beausite) , Aïn Sebaâ 20250 Casablanca - Maroc",", , "
CENTRAL PARTS,"15, rue Rachid Réda 20300 Casablanca - Maroc",", , "
CCIC,"quartier Lissasfa, route d'El Jadida , km.14 --- c/o Srm 23593 Casablanca - Maroc",", "
BREAKER MAROC,"Douar Ouled Slama - Ouest Ain Attig, Ibn Khaldoun 12000 Témara - Maroc",
CASA GRUE,"bd Zoulikha Naciri, Mega business center 2°ét. Sidi Maarouf 20550 Casablanca - Maroc",", , "
SUD TRANSMISSION,"rue Abou Bakr Essedik , Q.i. Marrakech 40000 Marrakech - Maroc",", , , "
GAF DISTRIBUTION,"7, bd El Binaa -ex E , lot. Snci.- Z.I. sidi bernoussi 20300 Casablanca - Maroc",", , , "
TRACTORPARTS,"15, rue Rachid Réda , Ain Borja 20300 Casablanca - Maroc",", , "
GMH DAMANE (Générale mécanique hydraulique Damane),"route de Rabat (r.p. 1) , Z.I. - 3 lot. Ennouala - Ain Sebaa 20600 Casablanca - Maroc",", , "
EASY JOB,"5, bd de Boured 20290 Casablanca - Maroc",", , , "
HARWAL TRAX,"50, avenue Khalid Bnou Loualid (Ain Sebaa) , ang. Bd Ali Yaâta 20590 Casablanca - Maroc",", , "
S.R.M. (sté de réalisations mécaniques),"quartier Lissasfa, route d'El Jadida , km.14 20190 Casablanca - Maroc",", "
AFRI EQUIPEMENT,"Lot. 25B, Bab Al Madina - Tilila 80000 Agadir - Maroc",
BEKS,"135, zone indust Sud-Ouest 28800 Mohammedia - Maroc",", , , "
AB PARTS,"4, bd du Fouarat , Hay Mohammadi 20570 Casablanca - Maroc",
G-PARTS,61 bloc 1 boulevard Agadir 86150 Aït Melloul - Maroc,", "
FIRST FILTRES INDUSTRIELS - FFI,"3, rue Abou Abbas El Jiraoui , Belvédère 20300 Casablanca - Maroc",", , "
COGETRAKS,"Douar El Caid Harbil, route de Safi - km 11, Sidi Ghanem 40000 Marrakech - Maroc",
